"category","rating","reviewText","label","vote","verified","reviewerID","asin","summary"
"Appliances_5.json.gz","5.0","I like this as a vent as well as something that will keep house warmer in winter. I sanded it and then painted it the same color as the house. Looks great.","CG","OR","True","A34A1UP40713F8","B00009W3I4","Great product"
"Appliances_5.json.gz","5.0","good item","CG","CG","True","A1AHW6I678O6F2","B00009W3PA","Five Stars"
"Appliances_5.json.gz","5.0","Fit my new LG dryer perfectly.","CG","OR","True","A8R48NKTGCJDQ","B00009W3PA","Five Stars"
"Appliances_5.json.gz","5.0","Good value for electric dryers","CG","CG","True","AR3OHHHW01A8E","B00009W3PA","Perfect size"
"Appliances_5.json.gz","5.0","Price and delivery was excellent.","CG","CG","True","A2CIEGHZ7L1WWR","B00009W3PA","Five Stars"
"Appliances_5.json.gz","5.0","I purchasaed a new dryer and did not want to reuse the cord from my old unit. This unit installed in a pretty straight forward manor. Quality was as expected. No Complaints","CG","OR","True","A1RQQV9HYHDHDN","B00009W3PA","Easy install"
"Appliances_5.json.gz","4.0","Good value.","CG","CG","True","A1OB2H416ARLFJ","B0009GVYNW","Good value for the price."
"Appliances_5.json.gz","2.0","works great. we loved ours! till we didn't. these do not last so buy the warranty as you WILL NEED IT.","CG","OR","False","A3LGZ8M29PBNGG","B000N6302Q","the five star posts are from new owners, the rest from disgruntle owners 6 months in with broken icemaker!"
"Appliances_5.json.gz","2.0","Luved it for the few months it worked! great little bullet shaped ice cubes. It was a gift for my sister who never opened the box. The next summer during a heat wave I asked for my unused gift back, ha!, and was in heaven for a few months. the next summer after a few weeks the unit gave out.called new air and it was over the one year mark so no warranty. so my advice is do not buy without extended warranty!","CG","OR","False","A3LGZ8M29PBNGG","B000N6302Q","my advice is do not buy without  extended warranty!"
"Appliances_5.json.gz","1.0","Be careful, NewAir will not stand by their products. Our NewAir broke within the first 4 hours of use. The manufacturer will NOT cover the item under warranty. Just in case you're actually thinking of buying a NewAir product... think twice... From: NewAir Sales <sales@newair.com> Date: Fri, Nov 14, 2014 at 11:03 AM Subject: Re: Icemaker return To: Susan Ferguson <xxxxx@gwmail.gwu.edu> Hi Susan, The manufacturer warranty is void if the unit is purchased by a private seller who does not have our consent to sell our products. This is the same reason why we ask for a copy of your receipt upon requesting warranty claims because if it not from a valid authorized dealer we will not proceed with warranty work. We also list our authorized dealers on our web site for customer use. We stand behind our products, however when an item is purchased from a private seller the purchaser runs the risk of the item being used, open box, refurbished, and or a scratch and dent. Our one year limited manufacturer's warranty is only valid on new items sold by our authorized online dealers. It is unfortunate to see that you are in this situation, however you will need to contact the seller of the item for a replacement or refund. Have a great day! Mireya Customer Support NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869 Ph: 855-963-9247 Em: sales@newair.com FB: facebook.com/NewAirUSA Twitter: @NewAirUSA Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA Web: [...] ""Made by awesome"" On Thu, Nov 13, 2014 at 7:59 PM, Susan Ferguson <xxxxx@gwmail.gwu.edu> wrote: Hello Mireya- I'm sorry but I thought the manufacturer warranty was for the manufacturer, NewAir. Please explain why the warranty is not valid in this case. I don't see anywhere in the warranty exclusions that the warranty is not valid if not purchased from an authorized dealer. In addition, a consumer would never know who ""authorized dealers"" are because if a company is selling your product doesn't that implicitly make them authorized to do so? I sincerely hope that NewAir will reconsider this position and stand by the integrity of their products. This ice machine was literally used for four hours before failing and it is, quite frankly egregious that your company is negating a warranty that explicitly states it will repair or replace defective materials or workmanship for up to one year. Please let me know how I can talk to a dispute department regarding this matter. I look forward to your response and I will refrain from giving any reviews of your product until this matter is resolved. Thank you, Susan Ferguson On Thu, Nov 13, 2014 at 3:10 PM, NewAir Sales <sales@newair.com> wrote: Hi Susan, Unfortunately, the ice maker was not purchased from an authorized dealer. You will need to contact the seller ""Mehadrin"" through Amazon for any existing issues on your unit. Have a great day! Mireya Customer Support NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869 Ph: 855-963-9247 Em: sales@newair.com FB: [...]","CG","OR","False","A3SM7H70QI3TY8","B000N6302Q","NewAir will not stand behind their products - company emails included"
